estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,BD,15,MAGNOJET,2,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,MAG,13,MAGNOJET,1,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,MGA,24.01,MAGNOJET,1,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,ST,25,MAGNOJET,3,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,ST-D,28,MAGNOJET,4,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,AD-IA,35,MAGNOJET,5,2022,Sudeste
SP,TeeJet;Jacto;Magnojet;,AGRIMAX,MUG,65,MAGNOJET,6,2022,Sudeste
MG,TeeJet;,SPRAYERCOM,TXA,20.01,TEEJET,1,2022,Sudeste
MG,TeeJet;,SPRAYERCOM,XR-VK,23,TEEJET,2,2022,Sudeste
MG,TeeJet;,SPRAYERCOM,TT-VP,18.01,TEEJET,3,2022,Sudeste
MG,TeeJet;,SPRAYERCOM,TTJ60,20.01,TEEJET,4,2022,Sudeste
MG,TeeJet;,SPRAYERCOM,TTI,60,TEEJET,6,2022,Sudeste
MG,TeeJet;,MAQNELSON,TXA,23,TEEJET,1,2022,Sudeste
MG,TeeJet;,MAQNELSON,TT-VP,23,TEEJET,3,2022,Sudeste
MG,TeeJet;,MAQNELSON,TTJ60,25,TEEJET,4,2022,Sudeste
MG,TeeJet;,MAQNELSON,AIXR-VK,41,TEEJET,5,2022,Sudeste
MG,TeeJet;,MAQNELSON,TTI,49.5,TEEJET,6,2022,Sudeste
GO,TeeJet;,MAQNELSON,TXA,23,TEEJET,1,2022,Centro-Oeste
GO,TeeJet;,MAQNELSON,XR-VK,23,TEEJET,2,2022,Centro-Oeste
GO,TeeJet;,MAQNELSON,TT-VP,23,TEEJET,3,2022,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTJ60,25,TEEJET,4,2022,Centro-Oeste
GO,TeeJet;,MAQNELSON,AIXR-VK,41,TEEJET,5,2022,Centro-Oeste
GO,TeeJet;,MAQNELSON,TTI,49.5,TEEJET,6,2022,Centro-Oeste
MG,TeeJet;,MAQNELSON,XR-VK,23,TEEJET,2,2022,Sudeste
GO,Magnojet;,A CAMARGO,MAG,13,MAGNOJET,1,2022,Centro-Oeste
GO,Magnojet;,A CAMARGO,MGA,19,MAGNOJET,1,2022,Centro-Oeste
GO,Magnojet;,A CAMARGO,ST,26.51,MAGNOJET,3,2022,Centro-Oeste
GO,Magnojet;,A CAMARGO,AD-IA,35,MAGNOJET,5,2022,Centro-Oeste
MG,Magnojet;,UNIPARTS,BD,15,MAGNOJET,2,2022,Sudeste
MG,Magnojet;,UNIPARTS,MGA,19,MAGNOJET,1,2022,Sudeste
MG,Magnojet;,UNIPARTS,AD-IA,39,MAGNOJET,5,2022,Sudeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,BD,18.01,MAGNOJET,2,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,MAG,13,MAGNOJET,1,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,MGA,20.01,MAGNOJET,1,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,ST,37,MAGNOJET,3,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,ST-D,40,MAGNOJET,4,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,AD-IA,40,MAGNOJET,5,2022,Nordeste
BA,TeeJet;Hypro;Magnojet;,JB PULVERIZAÇÃO,MUG,90,MAGNOJET,6,2022,Nordeste
GO,TeeJet;Hypro;,IGUAÇU MÁQUINAS,TXA,23,TEEJET,1,2022,Centro-Oeste
GO,TeeJet;Hypro;,IGUAÇU MÁQUINAS,TT-VP,23,TEEJET,3,2022,Centro-Oeste
GO,TeeJet;Hypro;,IGUAÇU MÁQUINAS,TTJ60,25,TEEJET,4,2022,Centro-Oeste
GO,TeeJet;Hypro;,IGUAÇU MÁQUINAS,AIXR-VK,41,TEEJET,5,2022,Centro-Oeste
MS,TeeJet;,COMO,TXA,20.01,TEEJET,1,2022,Centro-Oeste
MS,TeeJet;,COMO,XR-VK,20.01,TEEJET,2,2022,Centro-Oeste
